"","Endothelial cells","CD4+ T cells","NK cells","CD8+ T cells","B cells","Melanoma cells","Fibroblasts","Tregs","SMCs","Macrophages","Epithelial cells"
"Reactome_Phospholipid metabolism",0.4924812,0.7518797,0.6165414,0.6879699,0.7969925,0.6052632,0.3045113,0.6090226,1,0.8834586,0
"GO_phosphorylation",1,0.49837134,0.35179153,0.45276873,0.40390879,0.39087948,0,0.47557003,0.02605863,0.02605863,0.35830619
"Reactome_PI Metabolism",0.7788018,0.6774194,0.5023041,0.718894,0.6774194,0.8617512,0.4470046,0.6129032,1,0.7511521,0
