"","Melanoma cells","CD4+ T cells","Macrophages","NK cells","CD8+ T cells","Endothelial cells","Fibroblasts","SMCs","Tregs","B cells","Epithelial cells"
"Etherlipidmetabolism",0.16440543,0.12051077,0.24581006,0.09018356,0,0.97525938,1,0.28252195,0.07980846,0.38308061,0.7773344
"Onecarbonpoolbyfolate",1,0.22222222,0.4837963,0.04166667,0,0,0,0.71759259,0.97453704,0,0
"Oxidativephosphorylation",1,0.05588019,0.9100654,0,0.12217019,0.58445881,0.38380868,0.85379823,0.38342169,0.05282303,0.51464727
"Propanoatemetabolism",1,0.29351687,0.45026643,0.16829485,0.13765542,0.02930728,0.23090586,0.54973357,0.38676732,0,0.8348135
